series_name,episode_name,series_episode,season,season_episode,url,user_rating,user_votes,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
House of Cards,Chapter 1,1,1,1,http://www.imdb.com/title/tt2161930/?ref_=ttep_ep1,8.7,6580,0.005015197568389058,0.0024316109422492403,0.002887537993920973,0.0025835866261398176,0.012613981762917933,0.026291793313069908,0.08768996960486322,0.25759878419452886,0.34574468085106386,0.2571428571428571
House of Cards,Chapter 2,2,1,2,http://www.imdb.com/title/tt2250466/?ref_=ttep_ep2,8.7,5237,0.00515562344853924,0.0019094901661256445,0.002864235249188467,0.002100439182738209,0.007828909681115142,0.023868627076570555,0.0826809241932404,0.2791674622875692,0.36643116287951116,0.22799312583540196
House of Cards,Chapter 3,3,1,3,http://www.imdb.com/title/tt2248444/?ref_=ttep_ep3,8.4,4650,0.0064516129032258064,0.0012903225806451613,0.0017204301075268817,0.001935483870967742,0.008387096774193548,0.03634408602150538,0.1210752688172043,0.37376344086021507,0.2589247311827957,0.19010752688172042
House of Cards,Chapter 4,4,1,4,http://www.imdb.com/title/tt2248422/?ref_=ttep_ep4,8.3,4373,0.006402927052366796,0.0029727875600274413,0.003201463526183398,0.0029727875600274413,0.00846101074777041,0.03498742282186142,0.13514749599817058,0.40407043219757605,0.2213583352389664,0.18042533729705007
House of Cards,Chapter 5,5,1,5,http://www.imdb.com/title/tt2294870/?ref_=ttep_ep5,8.5,4269,0.006558913094401499,0.0025767158585148745,0.0032794565472007496,0.0028109627547434997,0.007964394471773249,0.02834387444366362,0.10096041227453736,0.3249004450691028,0.30826891543687046,0.21433591004919184
House of Cards,Chapter 6,6,1,6,http://www.imdb.com/title/tt2311910/?ref_=ttep_ep6,8.6,4267,0.006796344035622217,0.0032809936723693462,0.003515350363252871,0.0037497070541363956,0.009374267635340989,0.024138739161003047,0.0937426763534099,0.2758378251699086,0.3365362081087415,0.24302788844621515
House of Cards,Chapter 7,7,1,7,http://www.imdb.com/title/tt2311926/?ref_=ttep_ep7,8.2,4021,0.006466053220591892,0.002735637901019647,0.003481720964934096,0.0037304153195722458,0.009699079830887839,0.03456851529470281,0.15518527729420542,0.4023874658045262,0.19621984580950014,0.1855259885600597
House of Cards,Chapter 8,8,1,8,http://www.imdb.com/title/tt2312714/?ref_=ttep_ep8,7.8,4194,0.010252742012398664,0.004291845493562232,0.004291845493562232,0.007629947544110634,0.02837386742966142,0.09036719122556032,0.22699093943729137,0.33357176919408676,0.12994754411063425,0.1642823080591321
House of Cards,Chapter 9,9,1,9,http://www.imdb.com/title/tt2248426/?ref_=ttep_ep9,8.6,3926,0.006367804381049415,0.002292409577177789,0.003056546102903719,0.003056546102903719,0.0058583800305654615,0.02674477840040754,0.09679062659195109,0.29419256240448294,0.3392766174223128,0.22236372898624554
House of Cards,Chapter 10,10,1,10,http://www.imdb.com/title/tt2468204/?ref_=ttep_ep10,8.8,3969,0.00655076845553036,0.002015621063240111,0.0015117157974300832,0.0025195263290501385,0.00655076845553036,0.018140589569160998,0.06651549508692366,0.23633156966490299,0.3844797178130511,0.2753842277651801
House of Cards,Chapter 11,11,1,11,http://www.imdb.com/title/tt2440660/?ref_=ttep_ep11,9.1,4336,0.007841328413284132,0.0023062730627306273,0.0018450184501845018,0.0016143911439114391,0.006457564575645757,0.013145756457564576,0.0426660516605166,0.15982472324723246,0.3477859778597786,0.4165129151291513
House of Cards,Chapter 12,12,1,12,http://www.imdb.com/title/tt2555986/?ref_=ttep_ep12,8.6,3821,0.006804501439413766,0.002093692750588851,0.0028788275320596702,0.003140539125883277,0.008113059408531798,0.019890081130594085,0.09500130855796912,0.296519235802146,0.328448050248626,0.23711070400418738
House of Cards,Chapter 13,13,1,13,http://www.imdb.com/title/tt2555988/?ref_=ttep_ep13,8.9,4183,0.007171886206072197,0.0016734401147501792,0.0016734401147501792,0.0014343772412144394,0.005976571838393498,0.017451589768109014,0.061200095625149414,0.1972268706669854,0.37843652880707623,0.3277551996174994
House of Cards,Chapter 14,14,2,1,http://www.imdb.com/title/tt2811510/?ref_=ttep_ep1,9.6,7716,0.008812856402280975,0.001425609123898393,0.0019440124416796269,0.0012960082944530845,0.003110419906687403,0.008812856402280975,0.018144116122343183,0.05922757905650596,0.18377397615344737,0.713452566096423
House of Cards,Chapter 15,15,2,2,http://www.imdb.com/title/tt3221190/?ref_=ttep_ep2,8.5,3744,0.008012820512820512,0.0016025641025641025,0.0018696581196581197,0.0018696581196581197,0.009882478632478632,0.030982905982905984,0.11217948717948718,0.32211538461538464,0.3076923076923077,0.20379273504273504
House of Cards,Chapter 16,16,2,3,http://www.imdb.com/title/tt2990016/?ref_=ttep_ep3,8.6,3612,0.008028792912513842,8.305647840531562e-4,0.0024916943521594683,0.001937984496124031,0.009689922480620155,0.02630121816168328,0.09163898117386489,0.2967884828349945,0.3230897009966777,0.23920265780730898
House of Cards,Chapter 17,17,2,4,http://www.imdb.com/title/tt3001906/?ref_=ttep_ep4,9.1,4050,0.013827160493827161,0.0027160493827160493,0.0032098765432098763,0.002962962962962963,0.005925925925925926,0.012345679012345678,0.03950617283950617,0.15901234567901235,0.33283950617283953,0.4276543209876543
House of Cards,Chapter 18,18,2,5,http://www.imdb.com/title/tt3001926/?ref_=ttep_ep5,8.4,3425,0.008175182481751826,0.002627737226277372,0.0023357664233576644,0.00291970802919708,0.007883211678832117,0.0327007299270073,0.11883211678832117,0.338978102189781,0.2843795620437956,0.20116788321167883
House of Cards,Chapter 19,19,2,6,http://www.imdb.com/title/tt3221232/?ref_=ttep_ep6,8.4,3327,0.008716561466786895,0.0018034265103697023,0.0018034265103697023,0.0036068530207394047,0.008415990381725278,0.026149684400360685,0.11541929666366095,0.35136759843703036,0.2777276825969342,0.20498948001202286
House of Cards,Chapter 20,20,2,7,http://www.imdb.com/title/tt3147682/?ref_=ttep_ep7,8.5,3318,0.0081374321880651,0.0015069318866787222,0.0018083182640144665,0.0015069318866787222,0.008438818565400843,0.025617842073538274,0.11000602772754671,0.32489451476793246,0.30078360458107295,0.21729957805907174
House of Cards,Chapter 21,21,2,8,http://www.imdb.com/title/tt3147690/?ref_=ttep_ep8,8.7,3311,0.008154636061612805,0.0015101177891875567,0.0024161884627000906,9.06070673512534e-4,0.008456659619450317,0.021745696164300814,0.08577469042585321,0.27091513138024764,0.3572938689217759,0.2428269405013591
House of Cards,Chapter 22,22,2,9,http://www.imdb.com/title/tt3186026/?ref_=ttep_ep9,9,3545,0.007616361071932299,0.0028208744710860366,0.004231311706629055,0.0031029619181946405,0.005077574047954866,0.01777150916784203,0.04936530324400564,0.17433004231311708,0.38194640338504937,0.353737658674189
